"ItemCode","Barcode"
"2000008","8992628004138"
"8000003","18998009010610"
"1000033","1971197858821"
"15000016","4717270579889"
"24000008","8992696419162"
"15000005","711844130715"
"17000033","4923125560043"
"17000103","18992702002569"
"16000055","5740900401310"
"14000192","8990062000464"
"69000002","8886030525919"
"69000015","8999999561727"
"5000037","1899329621002"
"14000179","899999900875"
"16000024","8992628111133"
"20000040","8888900400111"
"27000010","64420900067"
"24000041","8992138212504"
"14000032","8992814881031"
"20000038","8994357010015"
"15000015","41790002102"
"39000015","8991818000004"
"40000001","8851932441414"
"72000043","8992779141409"
"11000083","9556041602198"
"15000020","78895300048"
"15000002","71184411051"
"70000002","8998899013169"
"75000029","8998899001128"
"15000120","7889530003"
"15000004","711844120617"
"12000009","8992822443139"
"11000002","13000573108"
"69000004","8999999604264"
"14000009","8999999090203"
"20000037","8994061800261"
"3000024","749921020284"
"78000002","8992742370683"
"5000031","8993080104503"
"15000046","8997034020048"
"73000172","8886030324802"
"25000002","8999999041670"
"14000015","1174723420"
"27000006","8998888150981"
"30000046","8992761111014"
"72000011","8886030225963"
"15000033","5000111001540"
"2000001","8992628010139"
"15000058","8997151800011"
"8000008","8999898962533"
"5000018","8993296715012"
"18000001","4800361000239"
"2000023","8410179099965"
"20222309","6934497702106"
"14000082","649626121081"
"1000005","1971197858822"
"12000013","6922723300288"
"2000004","41790001358"
"72000010","8886030805912"
"28000022","8992761111038"
"72000016","8992779637308"
"25000012","8886007811052"
"15000038","8993366201315"
"15000077","8991199322191"
"36000005","8992993523524"
"17000016","8719200171435"
"20000039","8888900400319"
"25000005","8999999195670"
"14000019","8992770011114"
"15000022","4179000011"
"68000001","8999999518998"
"20000052","8888900500910"
"17000011","18992628600177"
"11000009","24000163022"
"17000122","8719200171442"
"5000021","8714700527003"
"45000023","1005577301390"
"4000003","8992696405493"
"72000014","8992779634307"
"11000006","8997029980845"
"14000023","4151037"
"51000003","8888003215209"
"75000017","8992745140962"
"15000039","1121000001"
"75000026","8998899001470"
"23000003","8991001400024"
"69000008","8998866109352"
"15000029","8992774875002"
"17000142","8998009070037"
"12000027","53800028217"
"69000003","8998866105156"
"45000022","5412588022292"
"72000002","8992779013904"
"25000035","8994460910073"
"11000023","8710459101242"
"28000020","8992761111298"
"15000066","8998888710116"
"24000001","8992696400931"
"14000192","8992770088895"
"5000005","8993093115008"
"72000008","8998866696609"
"11000030","8410159404055"
"25000034","8994460910080"
"75000014","8998899001623"
"17000052","899588810568"
"17000012","8993492102722"
"3000023","8992993527508"
"27000009","8997224950117"
"27000013","8998888110817"
"79000038","8990062000082"
"75000013","8998899400372"
"75000041","89927445320241"
"25000037","8994460910080"
"11000031","4898828019696"
"45000001","8993492101053"
"14000096","4901515118425"
"15000006","8998888710130"
"18000011","8992696525351"
"77000029","8992774493602"
"17000040","8992822106508"
"14000033","8992814881017"
"25000036","8994460910066"
"12000016","41580530013"
"7400008","7237846781319"
"15000093","711844110052"
"30000043","8998888113610"
"15000040","13000008525"
"20222312","8992761111670"
