"ItemCode","ItemName","RackNo"
"05000031","BAKING POWDER 'HERCULES' 450 GR","R3-03-01-01"
"79000038","ALUMINIUM FOIL BESFRESH 45X7.6 MTR","R2-09-02-01"
"12000016","CHERRY RED SMALL10 OZ","R2-02-01-01"
"17000165","SLICE CHEESE KRAFT 75 GR 5'S (54 PCS )","R2-13-02-01"
"20222314","LA CASA SPAGETI GLUTEN FREE BROWN RICE 250 GR","R2-03-02-01"
"20222315","LA CASA FUSILI HLUTEN FREE SOY FLOUR 250 GR","R2-03-02-01"
"20222316","LA CASA FETTUCINE GLUTEN FREE CORN FLOUR 250 GR","R2-03-02-01"
"28000027","DR PEPPER CHERRY 12 OZ","R3-03-01-01"
"15000061","S&W DISTILLED WHITE VINEGAR 16 OZ","R2-04-01-01"
"14000074","S&W APPLE CIDER VINEGAR 16 OZ","R2-04-01-01"
"03000001","GULA IMPORT 1 KG","F5-01-01-01"
"02000008","MINYAK BIMOLI 18 LTR JIREGAN","F1-01-01-01"
"08000003","SUSU ULTRA 1 LT PLAIN","R1-01-01-01"
"01000033","BERAS PUTRI 25 KG","F1-01-01-01"
"05000001","TEPUNG TERIGU CAKRA 25 KG","F1-01-01-01"
"15000016","SALAD OIL LILY 3 LTR","R2-12-01-01"
"24000008","NESCAFE CLASS NEW PORTION/PACK","R3-08-02-01"
"15000005","TOMATO GALON ABC 5,7 KG","R2-11-01-01"
"17000033","BLOSOM HONEY BESAR GR","R3-08-01-01"
"17000103","BUTTER AUSTRALIAN 10 KG","FREEZER"
"16000055","BUTTER MINI LURPAK","FREEZER"
"15000031","SANTAN KARA 1 LTR","R2-03-01-01"
"03000022","GULA PORSI 250'S ( BESAR )","R2-16-01-01"
"05000037","TEPUNG TERIGU SEGITIGA TRASPARAN 1KG","F1-01-01-01"
"14000179","CHICKEN POWDER REFIL 1 KG","R2-05-01-01"
"16000024","SALAD OIL HAPPY 5 LTR","R2-15-01-01"
"20000040","SPAGHETTI IND.11 LAVONTE 450 GR","R2-01-01-01"
"27000010","COUNTRY KITCHEN /LOG CABIN SYRUP 700 ML","R3-06-01-01"
"24000041","COFFE BOLA DUNIA 200 GR","R1-01-01-01"
"14000032","BUMBU SATE ENAK ECO 185 GR","R2-03-01-01"
"20000038","MIE ATOM BULAN (PACK)","R1-01-02-01"
"15000015","OLIVE OIL BERTOLI EXTRA VIRGIN 1 LTR","R2-04-01-01"
"03000002","GULA LOKAL 1 KG","F5-01-01-01"
"39000015","KERUPUK UDANG NUSANTARA FINNA 380 GR","R2-16-01-01"
"16000010","JAM STRAWBERRY BANNER 72x20gr","R3-01-01-01"
"40000001","MAYONAISE 3 KG HELMAN EX KNOR","R2-09-01-01"
"11000083","BACKED BEAN AYAM BRAND 425 GR","R2-10-01-01"
"15000020","OYSTER SAUCE LKK CAN 80 OZ","R3-04-01-01"
"15000002","KECAP MANIS ABC GLN 6 KG","R2-11-01-01"
"15000120","OYSTER SAUCE LKK 907 ML","R3-07-01-01"
"15000004","SAMBAL ABC GALON 6 KG","R2-13-01-01"
"12000009","LYCHEE CAN 565 GR","R3-04-01-01"
"11000002","TOMATO PASTE USA HEINZ 3,147 KG","R2-12-01-01"
"20000037","BIHUN AA SUPER","R1-02-01-01"
"03000024","TROPICANA SLIM 160 SACHET","R2-14-01-01"
"05000031","BAKING POWDER 'HERCULES' 450 GR","R3-03-01-01"
